0  -172	0	-25	-18	-158	-4
154272	2904	2324	3559	1715	-1168	-3789
154784	-2072	-3972	1527	-25265	21045	-5206
155328	-5564	-5860	-4925	-14489	10139	-20070
155840	5340	-356	-6925	6215	-14326	2539
156352	-6040	-4264	-1677	-8580	25737	-2405
156896	912	-9340	-10817	-10456	16584	-17190
157408	1264	-3440	-2109	13240	-32516	27532
157920	2792	-124	-4137	8591	-19922	2017
158464	-40	-2540	-5173	-18126	-32517	-6694
158976	-132	-11228	-12101	-5534	-32516	-19906
159488	-12324	-11092	-5033	29254	-32516	32553
160032	6616	-696	-3777	-423	-1464	-1339
160544	-3164	-4404	-6141	-17266	19745	32554
161056	1908	-7392	-6389	10660	6222	22746
161600	5812	1360	-5473	3111	50	-3580
162112	-1964	-7164	-7125	1440	21390	-10430
162624	-18916	-12620	599	20328	-32516	18296
163136	-6776	-5024	-2737	-20382	-32517	-7361
163680	2408	-1580	2091	8066	-27312	11281
164192	4800	-4396	-3289	-1807	6901	504
164704	-4160	-6980	-9877	-12580	30247	-16706
165248	-11064	-12388	-2529	20722	-32516	32553
165760	-1304	-5100	-13261	-26462	-32517	-8837
166272	4944	-3880	-12857	-1074	-1254	-11267
166816	6548	-5772	-5601	8412	-10512	-7734
167328	5192	-5176	-13457	736	-892	728
167840	3904	-5332	-14525	305	107	587
168384	-13340	-24336	-1605	17302	-32516	32553
168896	8184	-200	-3497	1523	-10427	-2002
169408	5528	-3244	4187	-19111	30346	3006
169952	7592	-440	-3093	-2740	765	-1379
170464	8684	816	-8297	-14698	14329	2660
170976	6664	-1308	-11525	18161	-32516	2989
171520	6068	-1532	-665	15650	-19530	-5291
172032	8312	620	-9413	-5155	7515	847
172544	6588	-2500	2319	14148	-17436	-5723
173056	6692	-968	-7261	-23045	31905	9686
173600	8436	900	-9133	-6127	9556	1199
174112	8576	1536	-10545	5973	-10288	-2281
174624	8280	-1656	-1941	-2741	4944	-1105
175168	7656	556	-7677	15593	-23909	-2858
175680	7464	-2368	143	2135	2362	605
176192	5972	492	-8701	-20363	-32517	14054
176736	8624	1824	-9521	-1839	6703	2752
177248	7784	1672	-10113	9119	-19776	-7668
177760	3780	-4452	-4753	-9174	13223	6476
178304	-1452	-10916	3331	16528	-15679	-9837
178816	7644	-1764	-3125	12407	-18628	1378
179328	5116	-5616	-8209	-709	-32517	10774
179872	-5848	-6184	-6593	408	-266	-3673
180384	5248	-3024	-4865	-6998	15847	6105
180896	-8888	-9692	6823	-5470	30840	5690
181408	-4572	-5428	-3685	6547	-20490	-3080
181952	7284	-3420	-16497	-12022	7603	-2064
182464	-7216	-13648	-5105	-4401	-32517	-25054
182976	6488	-4396	-8145	-6763	27797	-6812
183520	6348	-5368	-4049	-1049	4901	2150
184032	-4592	-14464	-1445	23057	-32516	3673
184544	2268	-2796	-11757	32598	-32517	25102
185088	-1732	-6284	-16725	-5557	21930	-5084
185600	2304	-14660	-22517	1071	10855	-1611
186112	5108	-9488	-9825	-2884	-22466	-9700
186656	8176	1904	-12841	-12377	21384	-6720
187168	-26340	-11484	-5705	18431	-30193	32553
